S.No,Entry Signal,Exit Signal,Section Type,Line,TSRMS Route Id,Signal Type,Aspects of Entry Signal (Derived for Auto Signal),Requires Aspect of Exit Signal,Requires Points in Route,-,"Requires Track Circuit ""UP"" in Route",TIN's(TrackIdentificationNumber)RequiresFree,TIN'sRequiresFreeInOverlap,CheckRFIDSequence,-,DistanceBetweenEntry&ExitSignal(Meter),MovementAuthorityFromFootofEntrySignal(inSections),Authorized Speed (kmph) In OS,Track Profile Id,TLI Profile ID,EntrySignal,ExitSignal,Profile Id,Line,Turnout Speed,-,-,Permanent Speed Restriction,-,-,-,-,-,-,-,Gradient,-,-,LC Gate,-,-,-,-,-,-,Track Condition,-,-
-,-,-,-,-,-,-,-,-,-,Normal,Reverse,-,-,-,EntrySignalFootTag,(LinkingDistance#En-RouteTag),-,-,-,-,-,-,-,-.1,Speed Value (kmph),Start Distance (m),Length (m),U Speed,A Speed,B Speed,C Speed,Start Distance (m).1,Speed Length (m),Ref Tag ID,Span,Gradient Type (Downhill/ Uphill),Gradient Value,Length (m).1,LC ID Numeric/LC ID Alpha suffix,LC Alpha ID,LC Manning Type,"LC Class (Special, A, B, B1, C etc)",LC Distance (m),LC Auto Whistling Enabled,LC Auto Whistling Type,Track Condition Type(Radio Hole/ Non stopping/Neutral section/Reversing area/Fouling Mark),Start Distance (m).2,Length (m).2
1.0,S1,S5,Station,MMTS Down Main,-,Main Home,Green,Green,37,-,MMTS_DMAT#MMTS_DMBT,N-157#N-158,-,R-137,(0#R-137)#(180#R-139)#(314#R-141)#(200#R-143)#(568#R-145)#(200#R-147),1462,4,MPS,1,1,S1,S5,1,MMTS Down Main,-,-,-,120,-,-,-,0,1282,137,1462,Fall,1 in 285,1462,,,,,,,,Fouling Mark,287,0
,-,-,-,-,-,-,Green,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Green,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Double Yellow,Green,-,-,-,-,-,-,-,-,4,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Double Yellow,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Double Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Green,-,-,-,-,-,-,-,-,4,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Red,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2.0,S1,S6,Station,Down Loop,-,Main Home with Junction Route Indicator,Yellow with Pos 4,Yellow,42,37#39,DLT,N-157#N-161#N-163#N-164,N-165#N-169(W57R),R-137,(0#R-137)#(180#R-139)#(55#R-241)#(89#R-142)#(90#R-242)#(137#R-169)#(200#R-171)#(320#R-173)#(200#R-174),1271,2,15,2,2,S1,S6,2,Down Loop,30,182,175,120,-,-,-,0,182,137,1271,Fall,1 in 261,1271,,,,,,,,Fouling Mark,539,0
,-,-,-,-,-,-,Yellow with Pos 4,Red,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3.0,S1,-,Station,-,-,Main Home,Red/Blank,-,-,-,-,-,-,R-137,-,1271,1,15,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
